time;throughput (kbps)
178.3;38047
178.4;26629.4
178.5;47045.4
178.6;44824.3
178.7;17726.7
178.8;37381.4
178.9;28763
179;42592.7
179.1;58427
179.2;45742.1
179.3;47503.4
179.4;41837.4
179.5;39142.3
179.6;53643.8
179.7;37020.9
179.8;49475
179.9;56550.6
180;54546
180.1;42752.5
180.2;41181.2
180.3;40838.9
180.4;42561.5
180.5;39448.6
180.6;40585.4
180.7;23975.6
180.8;39329.7
180.9;41376.2
181;26908.9
181.1;18351.8
181.2;37754.8
181.3;30032.3
181.4;44583.3
181.5;56061.5
181.6;45396.1
181.7;28658.6
181.8;32843.3
181.9;43182.9
182;51914
182.1;44905.8
182.2;40903.6
182.3;40070.6
182.4;38161
182.5;28061.3
182.6;31140.6
182.7;42723
182.8;24905.3
182.9;30202.1
183;38508.2
183.1;41188.8
